question,answer,context
What is your name?,Noé,
What is your full name?,Noé Gracia,
What is your last name?,Gracia,
When were you born?,22/05/2000,
Where were you born?,Zaragoza,
What is your nationality?,French and Spanish,
Where do you live?,France,
What is your professional title?,Data Scientist / Artificial Intelligence Engineer at Aqsone,https://www.linkedin.com/in/noegracia/
What is your career summary?,"As a passionate AI Engineer with a Master’s degree in Artificial Intelligence, I am a hardworking and self-motivated individual with a strong desire to learn and grow. I have practical and theoretical knowledge in a broad range of AI and machine learning techniques and architectures. I am skilled in Python and core libraries used in statistics, data analysis, and AI. My experience includes neural network implementation, embedded programming, data analysis and processing, and AI software development. I am always looking for new challenges to develop my expertise and contribute to innovative AI solutions. I am currently seeking a role as a Machine Learning Engineer or AI Engineer where I can leverage my skills to build AI-driven systems.",https://www.linkedin.com/in/noegracia/
What certifications do you have?,"AWS Machine Learning Speciality Certification (2024-2027), Hugging Face Deep Reinforcement Learning Certificate of Excellence (2024), More...",https://www.linkedin.com/in/noegracia/
What are your soft skills?,"Perseverance, Creativity, Self-motivation, Strong organizational skills, Autonomy, Fast learning, Problem-solving",
What languages do you speak?,"French (Native/Bilingual), Spanish (Native/Bilingual), English (Full Professional Proficiency), German (Elementary)",
What are your interests?,"Running, Dancing, Climbing, AI research, Robotics",
What is your education background 1?,"Master of Technology (MTech) in Artificial Intelligence (2021-2023) - Université Paul Sabatier Toulouse III - Specialization: Intelligent interactive systems, robotics, image processing, computer vision, NLP.",https://www.linkedin.com/in/noegracia/
What is your education background 2?,Bachelor of Technology (BTech) in Computer Science (2018-2021) - Université Paul Sabatier Toulouse III - Final project: Visualization and automation tool for all university sensors and actuators.,https://www.linkedin.com/in/noegracia/
What is your education background 3?,"Baccalauréat Scientifique (BAC S, 2018) - Lycée Français Molière de Saragosse - Specialization in Mathematics (High Honors).",https://www.linkedin.com/in/noegracia/
"What are your skills?","Practical and theoretical knowledge in a broad range of AI and machine learning techniques and architecture. Expertise in Python and core libraries used in statistics, data analysis and AI (Pandas, Tensorflow, Pytorch, Sklearn, Scipy, SQL, Matplotlib, OpenCV). Experience in C, C++, embedded systems and embedded AI (TF Lite). Practical and theoretical knowledge in robotics, 3d perception, computer vision (ROS, PnL, YOLO). Skilled in Git and collaborative programming. (Git). Practical and theoretical knowledge in AWS machine learning services and data analysis to enhance cloud-based AI capabilities. (AWS Sagemaker, Glue, Lambda, EC2, Amazon S3). Familiar with a broad range of programming languages and technologies. (Docker, React, JS, Java, Home Assistant, MQTT)","noegracia.github.io/files/CV-NOEGRACIA-latex.pdf\n\n"
What are your technical skills 1?,"Python: Expertise in Python and core AI/data libraries (Pandas, Tensorflow, Pytorch, Sklearn, Scipy, SQL, Matplotlib, OpenCV).",
What are your technical skills 2?,"C, C++: Experience in embedded systems and embedded AI (TF Lite, CMSIS).",
What are your technical skills 3?,"Robotics, 3D Perception, and Computer Vision: Expertise in robotics, 3D perception, digital image processing, and AI applications (ROS, PnL, YOLO).",
What are your technical skills 4?,"Natural Language Processing (NLP): Experience in NLP techniques, chatbots, and Automatic Speech Recognition (nltk, spacy, BERT, RASA).",
What are your technical skills 5?,"Git & Collaborative Programming: Experience using GitHub, GitLab, Bitbucket.",
What are your technical skills 6?,"Other Programming & Technologies: Familiarity with Docker, React, JavaScript, Java, Home Assistant, MQTT, Kubernetes.",
What is your work experience 1?,"Data Scientist (Permanent) - Aqsone (June 2024 - Present) - Focus Areas: LLM-based chatbots, Retrieval-Augmented Generation (RAG), anomaly detection, AI pipeline creation - Responsibilities: Implementation of AI solutions and involvement in the entire AI development pipeline - Technologies Used: Python, LLM, RAG, AWS, Pandas, PySpark, SQL.",https://www.linkedin.com/in/noegracia/
What is your work experience 2?,"Artificial Intelligence Engineer (Intern & Trainee) - Groupe Zekat, FLY4U (May 2022 - Sept 2023) - Focus Areas: AI for embedded systems with IoT sensors - Projects: AI-driven inventory management for residual cable length prediction, Aircraft flight detection for automated radio frequency deactivation - Responsibilities: Built preprocessing tools for data structuring, synchronization, and resampling, Developed real-time time-series visualization and labeling tools, Designed AI models (CNN, RNN, NN, SVC) for pattern detection and anomaly detection, Embedded AI model implementation in C/C++ - Technologies Used: Python, Pandas, PySpark, Pytorch, Tensorflow, C, C++, Tensorflow Lite, Zephyr OS.",https://www.linkedin.com/in/noegracia/
What is your work experience 3?,"Web Application Developer (Intern) - Ecole Nationale Vétérinaire de Toulouse (Jan 2022 - Mar 2022) - Project: Developed 'Vita’nimal', a veterinary health monitoring tool - Responsibilities: Designed and developed the web app UI, Built backend algorithms for data processing and storage - Technologies Used: React, Django, JavaScript, IndexedDB, HTML, CSS, Python.",https://www.linkedin.com/in/noegracia/
What is your work experience 4?,"Software Developer (Intern) - IRIT (neOCampus) (Apr 2021 - May 2021) - Project: Developed a real-time visualization tool for university IoT sensor data - Responsibilities: Created algorithms for sensor/actuator detection via MQTT, Developed Home Assistant interface with real-time automation, Deployed the system via Docker on Raspberry Pi - Technologies Used: Python, AsyncIO, Docker, Grafana, MongoDB, MQTT.",https://www.linkedin.com/in/noegracia/
What is your personal project 1?,"Conversational AI with RAG Architecture - Goal: Built an AI chatbot that enhances response quality through Retrieval-Augmented Generation (RAG) and a vector document database - Technologies Used: Python, LLM (TinyLlama, Zephyr, Phi-2, GPT-3.5), ElasticSearch, Langchain, Gradio, Streamlit, React - Demo: https://interview-now-ai.vercel.app/",https://github.com/noegracia/elastic-chat/
What are your industry experiences?,"Data Science: Involvment in all the steps of pipeline creation. Logistics: AI anomaly detection, predictive analytics, Aeronautics: AI models for aircraft detection and sensor optimization, IoT (Internet of Things): AI-driven solutions for embedded systems and smart automation.",
What is your availability?,Immediate availability (Visa may be required for non-Schengen areas).,
